place;country;date
Gdañsk;pl;20130621
Matarnia;pl;20130621
Rêbiechowo;pl;20130621
Barniewice;pl;20130621
Gdañsk;pl;20130622
Matarnia;pl;20130622
Banino;pl;20130622
Pêpowo;pl;20130622
¯ukowo;pl;20130622
Sitno;pl;20130622
Sitno;pl;20130623
Kartuzy;pl;20130623
Przodkowo;pl;20130623
Czeczewo;pl;20130623
Kielno;pl;20130623
Koleczkowo;pl;20130623
Wiczlino;pl;20130623
Osowa;pl;20130624
Matarnia;pl;20130624
Osowa;pl;20130627
Matarnia;pl;20130627
Osowa;pl;20130629
Chwaszczyno;pl;20130629
Kielno;pl;20130629
Osowa;pl;20130630
Barniewice;pl;20130630
Banino;pl;20130630
Pêpowo;pl;20130630
¯ukowo;pl;20130630
Lniska;pl;20130630
Przyja¼ñ;pl;20130630
Kolbudy;pl;20130630
Osowa;pl;20130703
Matarnia;pl;20130703
Osowa;pl;20130704
Matarnia;pl;20130704
Gdañsk;pl;20130706
Matarnia;pl;20130706
Le¼no;pl;20130706
Pêpowo;pl;20130706
Miszewo;pl;20130706
Banino;pl;20130706
Barniewice;pl;20130706
Osowa;pl;20130706
Pelplin;pl;20130707
Gniew;pl;20130707
Starogard;pl;20130707
Osowa;pl;20130709
Matarnia;pl;20130709
Matarnia;pl;20130710
Banino;pl;20130710
Pêpowo;pl;20130710
Bieszkowice;pl;20130710
Osowa;pl;20130710
Osowa;pl;20130711
Matarnia;pl;20130711
Osowa;pl;20130713
Matarnia;pl;20130713
Osowa;pl;20130714
Chwaszczyno;pl;20130714
Bojano;pl;20130714
Koleczkowo;pl;20130714
Wiczlino;pl;20130714
Gdynia;pl;20130714
W³oszczowa;pl;20130716
Kielce;pl;20130716
Kielce;pl;20130717
Kielce;pl;20130718
Bodzentyn;pl;20130718
Starachowice;pl;20130718
Kielce;pl;20130720
Chodzie¿;pl;20130720
Kielce;pl;20130721
Osowa;pl;20130723
Matarnia;pl;20130723
Matarnia;pl;20130724
Osowa;pl;20130724
Osowa;pl;20130725
Matarnia;pl;20130725
Kielno;pl;20130726
Koleczkowo;pl;20130726
Wiczlino;pl;20130726
Osowa;pl;20130729
Matarnia;pl;20130729
Osowa;pl;20130731
Matarnia;pl;20130731
Osowa;pl;20130802
Matarnia;pl;20130803
Rêbiechowo;pl;20130803
Barniewice;pl;20130803
Osowa;pl;20130803
Matarnia;pl;20130804
Osowa;pl;20130804
Matarnia;pl;20130805
Rêbiechowo;pl;20130805
Barniewice;pl;20130805
Osowa;pl;20130805
Sopot;pl;20130806
Matarnia;pl;20130807
Osowa;pl;20130807
Sopot;pl;20130807
Osowa;pl;20130808
Sopot;pl;20130808
Banino;pl;20130808
¯ukowo;pl;20130808
Sopot;pl;20130810
Osowa;pl;20130810
Sopot;pl;20130811
Osowa;pl;20130811
Chwaszczyno;pl;20130811
Kielno;pl;20130811
Kowalewo;pl;20130811
Sopot;pl;20130813
Osowa;pl;20130813
Sopot;pl;20130815
Osowa;pl;20130815
Chwaszczyno;pl;20130815
Kielno;pl;20130815
Kowalewo;pl;20130815
Szemud;pl;20130815
Sopot;pl;20130816
Sopot;pl;20130817
Osowa;pl;20130817
Chwaszczyno;pl;20130817
Kielno;pl;20130817
Kowalewo;pl;20130817
Szemud;pl;20130817
Sopot;pl;20130818
Osowa;pl;20130818
Rêbiechowo;pl;20130818
Barniewice;pl;20130818
Gdañsk;pl;20130819
Matarnia;pl;20130819
Osowa;pl;20130819
Sopot;pl;20130820
Osowa;pl;20130820
Sopot;pl;20130821
Osowa;pl;20130821
Barniewice;pl;20130821
Banino;pl;20130821
Pêpowo;pl;20130821
Miszewo;pl;20130821
